NAME,URL,SAME_AS
gastrocnemius,https://exrx.net/Muscles/Gastrocnemius,
quadriceps,https://exrx.net/Muscles/Quadriceps,quads
brachioradialis,https://exrx.net/Muscles/Brachioradialis,
anterior deltoid,https://exrx.net/Muscles/DeltoidAnterior,
pectoralis major-sternal,https://exrx.net/Muscles/PectoralisSternal,
rectus abdominis,https://exrx.net/Muscles/RectusAbdominis,
gluteus maximus,https://exrx.net/Muscles/GluteusMaximus,glutes
sternocleidomastoid,https://exrx.net/Muscles/Sternocleidomastoid,
triceps brachii,https://exrx.net/Muscles/TricepsBrachii,triceps
wrist flexors,https://exrx.net/Muscles/WristFlexors,
splenius,https://exrx.net/Muscles/Splenius,
soleus,https://exrx.net/Muscles/Soleus,
wrist extensors,https://exrx.net/Muscles/WristExtensors,
tibialis anterior,https://exrx.net/Muscles/TibialisAnterior,
pronators,https://exrx.net/Articulations/Forearm#Pronation,
supinators,https://exrx.net/Articulations/Forearm#Supination,
lateral deltoid,https://exrx.net/Muscles/DeltoidLateral,
popliteus,https://exrx.net/Muscles/Popliteus,
posterior deltoid,https://exrx.net/Muscles/DeltoidPosterior,
pectoralis major-clavicular,https://exrx.net/Muscles/PectoralisClavicular,
latissimus dorsi,https://exrx.net/Muscles/LatissimusDorsi,lats
biceps brachii,https://exrx.net/Muscles/BicepsBrachii,biceps
transverse abdominis,https://exrx.net/Muscles/TransverseAbdominis,
obliques,https://exrx.net/Muscles/Obliques,
pectoralis minor,https://exrx.net/Muscles/PectoralisMinor,
brachialis,https://exrx.net/Muscles/Brachialis,
serratus anterior,https://exrx.net/Muscles/SerratusAnterior,
supraspinatus,https://exrx.net/Muscles/Supraspinatus,
hamstrings,https://exrx.net/Muscles/Hamstrings,
quadratus lumborum,https://exrx.net/Muscles/QuadratusLumborum,
trapezius-upper fibers,https://exrx.net/Muscles/TrapeziusUpper,
erector spinae,https://exrx.net/Muscles/ErectorSpinae,
trapezius-middle fibers,https://exrx.net/Muscles/TrapeziusMiddle,
trapezius-lower fibers,https://exrx.net/Muscles/TrapeziusLower,
rhomboids,https://exrx.net/Muscles/Rhomboids,
infraspinatus,https://exrx.net/Muscles/Infraspinatus,
subscapularis,https://exrx.net/Muscles/Subscapularis,
adductor magnus,https://exrx.net/Muscles/Adductors,
deep hip external rotators,https://exrx.net/Muscles/HipExernalRotators,
abductors,https://www.muscleandstrength.com/exercises/abductors.html,
lower back,https://www.muscleandstrength.com/exercises/lower-back,
palmar fascia,https://www.muscleandstrength.com/exercises/palmar-fascia,
upper back,https://www.muscleandstrength.com/exercises/middle-back,
plantar fascia,https://www.muscleandstrength.com/exercises/plantar-fascia,
adductors,https://www.muscleandstrength.com/exercises/adductors.html,
hip flexors,https://www.muscleandstrength.com/exercises/hip-flexors,
it band,https://www.muscleandstrength.com/exercises/it-band,
abs,https://www.muscleandstrength.com/exercises/abs,
traps,https://www.muscleandstrength.com/exercises/traps,
